epoch,g_loss,d_loss
1,6.263872,0.681763
2,16.066092,1.454337
3,17.358321,1.599605
4,14.711809,1.148382
5,10.862067,0.914287
6,11.700311,1.082594
7,7.317548,0.598136
8,6.304616,0.546666
9,5.681519,0.459310
1,11.176933,0.799947
2,5.825632,0.436883
3,5.929744,0.382936
4,6.305156,0.407025
5,7.392816,0.418053
6,6.852500,0.396649
7,7.828903,0.388732
8,9.610087,0.402223
9,9.603990,0.373190
10,7.858870,0.385300
11,7.953821,0.378749
12,6.447722,0.361012
13,10.505219,0.386038
14,8.589615,0.370160
15,7.186627,0.361241
16,6.197006,0.364734
17,7.290686,0.354925
18,6.593370,0.354765
19,6.791275,0.346957
20,6.516288,0.345620
21,6.315710,0.342616
22,6.587423,0.361141
23,6.478409,0.347884
24,6.484656,0.343006
25,6.384626,0.354004
26,6.313258,0.352209
27,6.844295,0.355850
28,7.803498,0.367600
29,12.674020,0.379456
30,11.511464,0.340337
31,5.701608,0.338830
32,7.114270,0.362683
33,6.471077,0.354069
34,7.660726,0.369308
35,6.005082,0.346382
36,6.156023,0.344006
37,6.089924,0.350466
38,5.982625,0.341149
39,5.862655,0.338265
40,7.283037,0.449860
41,5.766910,0.353557
42,8.925651,0.376961
43,6.324063,0.359934
44,5.837100,0.341054
45,5.888173,0.339768
46,6.023552,0.348175
47,6.835863,0.344016
48,6.147093,0.351619
49,6.038849,0.340537
50,5.962342,0.344856
51,6.174507,0.355005
52,5.901244,0.345227
53,5.858517,0.337083
54,6.295074,0.350019
55,5.885687,0.335493
56,5.938024,0.336048
57,5.921446,0.336059
58,6.120517,0.346195
59,6.475985,0.348642
60,6.207104,0.337097
61,6.053298,0.335371
62,6.151605,0.345909
63,6.147809,0.337907
64,6.145821,0.343410
65,6.358859,0.333096
66,6.762993,0.345522
67,6.536770,0.331325
68,6.582553,0.336753
69,6.609513,0.338524
70,6.605225,0.333610
71,6.587444,0.330445
72,6.635345,0.342627
73,6.719480,0.332085
74,6.750445,0.332957
75,6.629545,0.334154
76,6.800719,0.330305
77,6.734742,0.334229
78,6.823379,0.329813
79,6.731411,0.330229
80,6.642733,0.331865
81,6.750022,0.341549
82,6.751199,0.330040
83,6.680415,0.339025
84,6.541595,0.330777
85,6.476738,0.335233
86,7.188218,0.341330
87,6.777235,0.331300
88,6.754415,0.334222
89,6.761560,0.333737
90,6.860900,0.330678
91,6.717262,0.337649
92,6.787288,0.331964
93,6.914272,0.338253
94,6.937974,0.340858
95,6.907123,0.334865
96,6.750756,0.328933
97,6.855074,0.334693
98,6.528866,0.331789
99,6.708017,0.337861
100,6.718925,0.333796
101,6.884748,0.336003
102,6.727153,0.331498
103,6.761987,0.329937
104,6.830697,0.334417
105,7.039497,0.335134
106,6.892909,0.330989
107,6.800821,0.333141
108,6.887168,0.329540
109,6.935278,0.340326
110,6.951205,0.350837
111,6.879839,0.338773
112,6.573903,0.330871
113,6.319887,0.336946
114,6.661127,0.335297
115,6.406330,0.335745
116,6.488191,0.335132
117,6.533365,0.338416
118,6.598606,0.335878
119,6.607201,0.337925
120,7.729450,0.490128
121,5.922545,0.345214
122,5.893274,0.333725
123,5.934788,0.341029
124,5.841151,0.334941
125,6.048756,0.335049
126,6.242555,0.332475
127,6.012852,0.336036
128,6.087956,0.333347
129,6.290915,0.336440
130,5.906674,0.336292
131,6.048318,0.334298
132,6.340921,0.348133
133,5.967582,0.335566
134,5.919301,0.333175
135,6.128561,0.347937
136,6.059581,0.333500
137,5.969491,0.335035
138,6.890331,0.346466
139,6.414513,0.342353
140,6.161626,0.343899
141,6.327992,0.341423
142,5.960236,0.337327
143,7.250003,0.349930
144,6.040213,0.335453
145,6.230108,0.339532
146,6.345314,0.333359
147,6.465144,0.356045
148,6.755802,0.343320
149,6.005468,0.337081
150,6.062639,0.341646
151,6.043966,0.356854
152,5.957703,0.337790
153,5.702847,0.335548
154,9.082765,2.353418
155,8.303792,1.333096
156,7.782898,1.315365
157,4.931087,0.494291
158,5.551866,0.454310
159,5.684110,0.471796
160,5.520633,0.419256
161,5.523499,0.423185
162,5.026132,0.373136
163,5.822835,0.373218
164,5.128886,0.360248
165,5.087256,0.380869
166,4.827716,0.364722
167,5.911297,0.524803
168,4.712111,0.392311
169,5.445375,0.493000
170,5.321309,0.401510
171,4.906895,0.540703
172,4.446930,0.454258
173,5.228195,0.680719
174,4.656011,0.468763
175,5.865205,0.682935
176,4.841291,0.554813
177,4.413046,0.482332
178,4.341925,0.458312
179,3.949179,0.658482
180,4.240891,0.621013
181,4.256141,0.413750
182,4.842592,0.412210
183,6.165451,0.497379
184,5.103697,0.539866
185,4.754181,0.546014
186,4.505876,0.393109
187,4.978352,0.540043
188,4.806347,0.473242
189,4.595478,0.812463
190,4.467901,0.679378
191,4.190243,0.472375
192,4.335615,0.557592
193,4.757570,0.442778
194,4.571677,0.411933
195,5.405226,0.652297
196,3.952106,0.435804
197,4.621444,0.948862
198,3.746995,0.498855
199,4.886168,0.434791
200,4.536553,0.389128
201,4.788201,0.396841
202,4.899444,0.784391
203,4.065787,0.440077
204,4.345718,0.406344
205,6.400491,0.552142
206,4.910710,0.544977
207,4.310221,0.586955
208,4.457563,0.488890
209,4.625479,0.412408
210,5.138955,0.383116
211,4.766036,0.372533
212,5.512820,1.550171
213,4.283615,0.588341
214,4.467922,0.456730
215,4.476220,0.408031
216,4.941086,0.387189
217,5.507350,0.364858
218,5.903577,0.369609
219,6.309007,0.368005
220,6.475590,0.362718
221,6.413273,0.355654
222,6.220758,0.348272
223,6.072605,0.347792
224,6.636306,0.348091
225,6.040352,0.336924
226,8.496417,0.388410
227,14.204020,0.384364
228,6.229607,0.338052
229,5.912574,0.336607
230,6.594381,0.344786
231,6.208547,0.337414
232,7.796735,0.341339
233,6.359194,0.627745
234,4.947530,0.364917
235,5.027029,0.358389
236,4.954771,0.372193
237,5.178181,0.367928
238,5.244381,0.378358
239,5.512032,0.381742
240,4.892729,0.356331
241,4.952726,0.360363
242,5.068536,0.388831
243,5.424800,0.859539
244,4.364746,0.427797
245,4.654912,0.395486
246,4.748997,0.404878
247,4.794364,0.467703
248,4.440760,0.372891
249,4.667414,0.386906
250,5.346261,0.410919
251,5.106707,0.368614
252,5.031516,0.391671
253,5.720588,0.476273
254,4.542610,0.415252
255,4.742761,0.380997
256,4.861757,0.375919
257,5.262416,0.378145
258,5.106492,0.358178
259,4.735823,0.371690
260,4.937332,0.381830
261,5.527671,0.781857
262,4.328508,0.524944
263,4.312937,0.430603
264,5.304575,0.471051
265,4.494340,0.398611
266,4.233038,0.370151
267,5.232493,0.748128
268,4.161893,0.449043
269,4.485405,0.393239
270,5.882460,0.552480
271,4.183037,0.416623
272,4.550697,0.391988
273,4.769980,0.388903
274,5.286262,0.628877
275,4.157081,0.392593
276,4.481784,0.564318
277,3.878085,0.399754
278,4.426015,0.385339
279,4.510920,0.384633
280,4.904407,0.459935
281,5.596414,0.635109
282,4.191241,0.447290
283,4.498367,0.411542
284,4.948918,0.422033
285,5.027919,0.442133
286,5.124177,0.415359
287,4.877760,0.364415
288,8.443929,0.448255
289,4.149290,1.071577
290,4.141718,0.523056
291,4.263490,0.629481
292,4.394075,0.455901
293,4.258070,0.411289
294,4.688608,0.483782
295,4.552628,0.383704
296,4.693737,0.375592
297,4.986954,0.503963
298,4.318503,0.392490
299,5.095122,0.398347
300,4.596578,0.409619
301,4.258223,0.404867
302,4.369449,0.442521
303,4.456859,0.462330
304,4.694402,0.420447
305,4.388274,0.381561
306,5.159545,0.542122
307,4.173762,0.407855
308,4.722991,0.667975
309,4.133576,0.412554
310,4.319934,0.426105
311,4.463174,0.443263
312,5.032293,0.392666
313,4.339725,0.377702
314,5.742861,0.697439
315,3.972854,0.596406
316,4.027654,0.568676
317,4.056427,0.456393
318,4.270610,0.434376
319,4.595482,0.484248
320,4.776535,0.457985
321,4.698018,0.383762
322,4.687251,0.617947
323,4.400626,0.657523
324,4.108771,0.484062
325,4.115338,0.470704
326,4.632692,0.584502
327,4.576365,0.423596
328,4.491526,0.427583
329,4.233769,0.502330
330,4.709152,0.452848
331,4.207225,0.416417
332,4.839769,0.640901
333,3.991070,0.429171
334,4.111300,0.432055
335,4.276644,0.451054
